trade_id,security_isin,trade_amount,counterparty_risk_score,historical_fail_rate,market_volatility_index,settlement_delay_days,settlement_failed,security_type_Derivative,security_type_Equity,currency_GBP,currency_JPY,currency_USD,counterparty_Barclays,counterparty_Citi,counterparty_Goldman Sachs,counterparty_HSBC,counterparty_JPMorgan,counterparty_Morgan Stanley,trade_size_category_Medium,trade_size_category_Large,trade_size_category_XL
29,US579546681,4312873.09,0.028,0.054,17.83,4,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True
30,US206328085,804944.34,0.078,0.188,17.96,0,0,False,True,False,True,False,False,False,False,False,True,False,False,True,False
31,US130349564,2424468.14,0.722,0.108,15.1,2,0,True,False,False,True,False,False,False,False,False,False,True,False,False,True
32,US881447915,1099931.41,0.555,0.168,18.15,4,1,True,False,True,False,False,False,False,False,False,True,False,False,True,False
33,US199052376,3018708.68,0.127,0.105,27.24,3,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True
34,US277077808,2797281.37,0.614,0.154,38.94,4,0,False,False,False,True,False,False,False,False,True,False,False,False,False,True
35,US206406362,1906236.75,0.81,0.01,28.23,1,1,True,False,True,False,False,False,True,False,False,False,False,False,True,False
36,US580404538,4317884.54,0.753,0.16,22.3,4,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True
37,US743647998,3302468.47,0.246,0.105,21.69,2,0,True,False,False,False,True,False,False,True,False,False,False,False,False,True
38,US699121577,3608813.57,0.258,0.09,10.73,4,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True
39,US300427519,761792.09,0.968,0.022,10.08,4,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False
40,US281009883,4416996.73,0.887,0.148,33.92,1,1,False,True,False,False,True,False,False,False,False,False,True,False,False,True
41,US599770319,843530.42,0.318,0.026,24.7,4,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False
42,US985063869,1121696.97,0.824,0.038,11.0,1,0,True,False,False,False,True,False,False,True,False,False,False,False,True,False
43,US489151677,648995.14,0.162,0.025,18.58,2,0,True,False,False,True,False,False,False,False,True,False,False,False,True,False
44,US251079598,2207392.45,0.197,0.001,20.7,2,1,True,False,False,False,True,False,False,False,True,False,False,False,False,True
45,US608464061,4439669.07,0.181,0.132,33.5,0,0,False,True,False,True,False,False,False,False,False,True,False,False,False,True
46,US957592370,1269713.12,0.088,0.054,23.03,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False
47,US668919915,1875029.57,0.855,0.03,33.68,1,0,False,True,True,False,False,False,True,False,False,False,False,False,True,False
48,US161136438,4231871.44,0.579,0.064,29.01,0,1,True,False,False,True,False,False,False,False,False,False,True,False,False,True
49,US496917567,3092898.25,0.259,0.1,10.99,0,0,True,False,True,False,False,False,False,False,False,False,True,False,False,True
50,US299502978,3760565.8,0.849,0.101,39.06,3,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True
51,US572190436,1077860.25,0.803,0.073,15.44,0,0,True,False,False,False,True,True,False,False,False,False,False,False,True,False
52,US561901618,3585284.42,0.101,0.099,18.27,4,1,False,True,False,True,False,True,False,False,False,False,False,False,False,True
53,US874414982,1145776.79,0.644,0.085,34.28,2,1,False,True,False,True,False,False,False,False,False,True,False,False,True,False
54,US832395540,4936696.77,0.722,0.165,15.7,0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,True
55,US961137736,2803831.92,0.716,0.006,22.03,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True
56,US379394470,3481239.9,0.723,0.174,35.95,3,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True
57,US156972561,600823.9,0.169,0.049,29.12,3,0,False,True,False,False,False,False,False,True,False,False,False,False,True,False
58,US954206851,1260773.34,0.315,0.144,19.06,2,1,False,True,False,True,False,False,False,True,False,False,False,False,True,False
59,US925500248,707305.89,0.844,0.081,29.32,2,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
60,US371820813,1956951.87,0.898,0.059,34.38,1,1,False,True,True,False,False,False,False,False,False,False,True,False,True,False
61,US350814705,1427837.96,0.279,0.123,22.12,1,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False
62,US681609465,3667282.08,0.023,0.154,27.15,1,1,False,False,True,False,False,False,False,False,True,False,False,False,False,True
63,US334564360,552457.81,0.86,0.09,39.64,3,0,False,True,True,False,False,False,False,False,False,True,False,False,True,False
64,US168574553,3762776.25,0.377,0.093,38.94,3,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True
65,US519498548,238067.07,0.329,0.012,25.27,1,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False
66,US891274835,1018069.01,0.347,0.185,12.88,0,0,False,False,True,False,False,False,False,False,False,True,False,False,True,False
67,US916698734,3961905.31,0.416,0.169,31.02,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,True
68,US887110843,3716455.44,0.378,0.08,18.06,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True
69,US624150214,2386867.31,0.566,0.153,30.08,1,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True
70,US572432043,259413.75,0.079,0.063,20.55,3,0,True,False,False,False,False,False,False,False,False,False,True,True,False,False
71,US457319431,3053369.77,0.972,0.146,31.56,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True
72,US247697582,2039553.28,0.936,0.103,21.02,2,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True
73,US844595490,1589475.47,0.934,0.092,38.24,2,1,True,False,False,True,False,False,False,False,False,False,True,False,True,False
74,US784275917,3205649.08,0.879,0.011,14.1,4,0,False,True,True,False,False,False,False,False,True,False,False,False,False,True
75,US705850704,2188706.67,0.66,0.193,12.05,2,1,False,True,True,False,False,False,False,False,False,False,True,False,False,True
76,US137709731,471181.29,0.221,0.167,33.44,0,0,True,False,False,True,False,False,False,True,False,False,False,True,False,False
77,US882698033,4580592.85,0.049,0.159,22.04,3,0,False,True,False,False,True,False,False,False,False,False,True,False,False,True
78,US798027879,3894680.57,0.099,0.061,23.97,0,1,False,True,False,False,True,True,False,False,False,False,False,False,False,True
79,US123027075,291327.17,0.324,0.058,38.01,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False
80,US365047041,2630068.71,0.504,0.115,27.7,2,1,True,False,True,False,False,False,False,False,True,False,False,False,False,True
81,US852288765,426054.04,0.993,0.169,29.81,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
82,US186191493,4188076.4,0.435,0.187,10.58,4,1,False,True,False,True,False,False,False,False,False,True,False,False,False,True
83,US993102645,3068939.67,0.525,0.054,30.12,2,0,False,False,False,True,False,True,False,False,False,False,False,False,False,True
84,US300619113,870521.18,0.695,0.121,21.65,2,1,False,False,False,True,False,True,False,False,False,False,False,False,True,False
85,US390770691,113499.3,0.181,0.145,23.81,2,0,True,False,False,False,True,False,False,True,False,False,False,True,False,False
86,US893943861,167589.25,0.933,0.045,34.24,4,0,False,True,False,True,False,False,False,False,False,True,False,True,False,False
87,US234489564,2541753.71,0.529,0.081,25.71,3,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True
88,US496360081,3674523.66,0.276,0.037,39.61,2,1,True,False,False,False,True,False,True,False,False,False,False,False,False,True
89,US207944665,612993.85,0.935,0.14,33.9,3,1,False,False,False,False,True,False,True,False,False,False,False,False,True,False
90,US957937451,1114207.49,0.625,0.173,31.86,3,1,True,False,True,False,False,False,False,True,False,False,False,False,True,False
91,US913891745,1643027.13,0.484,0.176,27.66,0,0,False,True,False,True,False,False,False,False,False,True,False,False,True,False
92,US723415497,1098203.14,0.58,0.134,22.37,1,0,True,False,False,False,True,False,False,False,True,False,False,False,True,False
93,US722028733,1962769.45,0.748,0.069,11.59,4,0,False,True,True,False,False,False,False,False,False,True,False,False,True,False
94,US858744035,2802478.88,0.155,0.132,10.55,1,0,False,False,True,False,False,False,False,False,False,False,True,False,False,True
95,US520477197,3427834.37,0.865,0.173,11.4,3,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True
96,US838194223,4819238.16,0.96,0.125,38.77,3,1,False,False,False,True,False,True,False,False,False,False,False,False,False,True
97,US428740110,4654909.91,0.567,0.083,19.7,4,1,False,False,False,True,False,False,False,True,False,False,False,False,False,True
98,US480072391,2854933.6,0.682,0.184,31.02,1,1,False,True,True,False,False,False,False,False,True,False,False,False,False,True
99,US402554573,3673408.78,0.86,0.167,27.83,0,1,False,True,False,False,True,True,False,False,False,False,False,False,False,True
100,US941739990,4754852.3,0.375,0.176,27.15,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True
101,US189482491,426525.0,0.993,0.181,27.38,2,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False
102,US294249720,38117.45,0.681,0.079,19.07,1,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False
103,US423541287,158700.82,0.424,0.172,36.6,3,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False
104,US506019796,2821113.32,0.677,0.114,37.58,4,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True
105,US695614415,3816538.79,0.522,0.008,29.34,2,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True
106,US191693393,1841704.0,0.112,0.127,35.92,3,0,False,True,False,False,True,False,False,False,True,False,False,False,True,False
107,US270476398,2730743.48,0.796,0.094,11.8,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True
108,US438175028,2586667.93,0.564,0.055,13.01,4,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True
109,US472593431,482906.75,0.796,0.194,26.77,2,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False
110,US558502041,1614725.44,0.155,0.011,35.4,1,0,False,True,False,False,False,False,False,False,False,True,False,False,True,False
111,US232862715,106981.42,0.538,0.189,19.46,2,1,True,False,True,False,False,False,False,True,False,False,False,True,False,False
112,US559708603,562421.39,0.767,0.032,26.44,0,1,False,False,False,True,False,False,False,False,True,False,False,False,True,False
113,US283378299,4061172.53,0.988,0.075,10.3,0,1,True,False,False,False,True,False,False,False,False,True,False,False,False,True
114,US211665644,4148773.35,0.884,0.083,39.6,4,1,False,True,False,True,False,False,False,False,False,True,False,False,False,True
115,US705264936,4011712.14,0.864,0.146,33.01,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True
116,US298743196,3636825.02,0.247,0.043,20.84,3,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True
117,US324184334,3968631.1,0.838,0.197,39.49,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True
118,US809816108,3358201.88,0.169,0.15,12.77,2,1,False,True,False,True,False,False,False,False,False,True,False,False,False,True
119,US420192576,3352468.36,0.198,0.158,23.93,2,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True
120,US167157848,3340135.37,0.11,0.021,11.77,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True
121,US844753672,2575073.52,0.858,0.095,20.05,2,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True
122,US195540567,1823102.69,0.108,0.189,16.58,2,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False
123,US722261376,3653674.38,0.138,0.054,19.5,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
124,US953477355,1500243.61,0.246,0.029,38.42,4,1,False,False,False,True,False,False,False,False,True,False,False,False,True,False
125,US286780295,2719081.64,0.573,0.097,22.82,2,0,False,True,False,False,True,False,False,False,False,False,True,False,False,True
126,US123717335,2172444.54,0.88,0.186,19.75,0,0,True,False,False,True,False,False,False,False,True,False,False,False,False,True
127,US160472382,1390345.16,0.418,0.097,29.22,0,1,True,False,False,False,True,False,False,False,True,False,False,False,True,False
128,US381154698,4873702.7,0.546,0.081,30.5,4,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True
129,US954021618,1301170.71,0.166,0.13,39.51,2,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False
130,US988445520,1553372.39,0.266,0.187,26.38,2,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False
131,US272552610,816321.63,0.134,0.01,32.58,2,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
132,US191355424,4116673.32,0.41,0.031,21.46,4,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True
133,US555094650,2937081.11,0.59,0.027,15.13,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
134,US418019332,3069065.89,0.284,0.017,22.9,2,0,True,False,True,False,False,False,False,False,False,True,False,False,False,True
135,US857206505,4104601.44,0.846,0.06,22.56,2,0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
136,US565856742,1721169.1,0.981,0.046,22.62,3,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False
137,US748870905,976230.79,0.12,0.11,30.86,1,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False
138,US597653800,1000042.77,0.018,0.065,22.18,4,0,False,True,False,True,False,False,False,False,False,False,False,False,True,False
139,US808496411,3665772.91,0.79,0.081,38.62,1,0,False,True,True,False,False,False,False,False,True,False,False,False,False,True
140,US585775494,3074434.62,0.191,0.188,39.48,4,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True
141,US529662408,1039631.0,0.353,0.031,25.7,1,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False
142,US629561415,733876.32,0.394,0.078,26.75,3,0,True,False,False,False,True,False,False,False,False,False,False,False,True,False
143,US956634123,612229.65,0.917,0.051,22.23,1,1,False,True,False,True,False,False,True,False,False,False,False,False,True,False
144,US447454369,3142715.25,0.659,0.11,20.67,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True
145,US509783328,10592.04,0.041,0.147,39.56,1,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False
146,US372981039,101413.52,0.015,0.163,11.22,1,0,False,True,True,False,False,True,False,False,False,False,False,True,False,False
147,US618910454,1953870.15,0.2,0.103,22.3,0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False
148,US361917078,3459835.82,0.318,0.171,14.54,4,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True
149,US825167677,3478246.49,0.485,0.157,31.79,1,1,False,True,True,False,False,False,False,False,False,False,True,False,False,True
150,US422909911,2156290.19,0.838,0.031,15.83,2,1,True,False,False,True,False,False,True,False,False,False,False,False,False,True
151,US812631076,3458457.3,0.315,0.049,36.54,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True
152,US492121003,2610269.94,0.377,0.134,21.23,4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
153,US690804839,4884887.77,0.329,0.195,37.51,3,0,True,False,False,True,False,True,False,False,False,False,False,False,False,True
154,US206179285,820676.47,0.009,0.075,39.6,4,0,False,False,True,False,False,False,False,False,False,True,False,False,True,False
155,US689324250,3007329.67,0.955,0.046,33.14,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True
156,US363038498,2461281.49,0.139,0.174,28.69,3,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True
157,US670916578,980387.06,0.288,0.04,14.5,3,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False
158,US613653348,3752452.26,0.129,0.139,37.99,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,True
159,US524831618,1384785.02,0.491,0.007,33.31,1,0,False,True,False,True,False,True,False,False,False,False,False,False,True,False
160,US146321408,1914732.0,0.932,0.004,18.64,0,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False
161,US363183577,1880404.54,0.101,0.09,24.06,1,0,False,True,False,False,True,False,False,False,False,True,False,False,True,False
162,US190053374,1228580.32,0.441,0.131,12.03,0,0,False,False,False,True,False,False,False,False,False,False,True,False,True,False
163,US126063245,2159219.61,0.022,0.028,29.77,3,0,False,True,False,False,False,False,False,False,False,False,True,False,False,True
164,US273660954,2371995.95,0.771,0.153,13.76,1,0,True,False,True,False,False,False,False,False,False,False,True,False,False,True
165,US197636744,3723666.15,0.641,0.026,29.55,2,0,True,False,False,False,True,False,False,False,False,False,True,False,False,True
166,US862532878,3827692.19,0.7,0.107,30.15,3,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True
167,US576272473,801194.28,0.472,0.062,19.74,4,0,True,False,True,False,False,False,True,False,False,False,False,False,True,False
168,US209174313,2967933.77,0.908,0.15,38.46,3,0,False,True,False,True,False,True,False,False,False,False,False,False,False,True
169,US913194107,4482027.01,0.41,0.161,33.37,2,0,False,False,False,True,False,False,False,False,False,False,True,False,False,True
170,US563390156,552845.18,0.514,0.013,24.9,0,0,False,True,False,False,True,False,False,False,False,True,False,False,True,False
171,US966377394,2369841.08,0.695,0.039,37.56,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
172,US234987326,3754262.08,0.521,0.179,35.68,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True
173,US726049887,3061341.76,0.189,0.083,30.77,0,0,False,True,False,True,False,False,False,False,False,True,False,False,False,True
174,US685878246,511922.43,0.317,0.095,14.59,1,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False
175,US376406835,1989064.57,0.092,0.034,24.91,0,0,True,False,False,False,False,False,False,True,False,False,False,False,True,False
176,US371766524,2541125.1,0.433,0.199,35.93,2,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True
177,US136810847,4979269.55,0.609,0.185,28.27,4,1,False,True,False,False,True,True,False,False,False,False,False,False,False,True
178,US939735171,901253.47,0.119,0.0,26.37,1,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False
179,US776742877,4912294.6,0.631,0.11,38.66,0,1,False,False,False,False,True,False,False,True,False,False,False,False,False,True
180,US698424036,1886987.42,0.893,0.174,10.5,1,0,True,False,False,False,True,False,False,False,False,False,False,False,True,False
181,US548469222,1009599.23,0.338,0.086,10.36,0,0,False,True,True,False,False,False,False,False,False,False,False,False,True,False
182,US788839404,2076404.32,0.222,0.087,36.78,2,1,True,False,False,True,False,False,False,False,False,True,False,False,False,True
183,US271116174,3073835.67,0.893,0.076,11.16,3,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True
184,US123841962,1075352.0,0.692,0.006,19.98,4,0,False,False,True,False,False,False,False,False,False,True,False,False,True,False
185,US972141340,1464281.03,0.105,0.158,37.72,4,0,False,False,True,False,False,False,False,False,False,True,False,False,True,False
186,US928299788,4274187.04,0.408,0.091,30.73,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True
187,US430626207,4995057.21,0.674,0.106,29.44,4,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True
188,US524623942,1597681.73,0.574,0.051,29.71,0,1,False,True,True,False,False,False,False,False,True,False,False,False,True,False
189,US270731194,752795.45,0.619,0.157,19.53,2,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False
190,US936594930,3967922.39,0.567,0.159,25.92,2,0,True,False,True,False,False,False,False,False,False,False,True,False,False,True
191,US792440149,3006273.88,0.798,0.111,28.9,1,0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
192,US660355099,511001.71,0.32,0.181,19.17,0,1,False,True,False,False,True,False,False,False,False,False,True,False,True,False
193,US871795521,4734389.69,0.708,0.023,33.86,4,1,False,False,False,False,True,False,False,True,False,False,False,False,False,True
194,US634096553,399467.15,0.991,0.157,19.65,0,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False
195,US349625132,3130528.44,0.39,0.112,12.14,4,1,False,True,False,False,False,False,False,False,True,False,False,False,False,True
196,US295995197,2125446.91,0.791,0.046,16.04,0,1,False,False,False,False,True,False,False,False,True,False,False,False,False,True
197,US672964792,2787553.35,0.246,0.026,22.25,4,1,False,True,False,True,False,False,False,False,False,True,False,False,False,True
198,US553094388,1073938.84,0.282,0.06,37.24,4,1,False,True,False,True,False,True,False,False,False,False,False,False,True,False
199,US621669253,3443670.89,0.935,0.171,22.47,2,0,False,True,True,False,False,False,False,False,True,False,False,False,False,True
200,US987059227,4799001.25,0.026,0.158,12.69,3,0,False,False,False,False,True,False,False,False,False,True,False,False,False,True
201,US330519835,2297545.11,0.217,0.129,15.89,3,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True
202,US901312299,2619561.81,0.483,0.018,26.33,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True
203,US815154771,1206660.24,0.402,0.191,15.33,3,1,True,False,False,False,True,False,False,False,False,False,True,False,True,False
204,US712286237,4460421.24,0.629,0.061,11.92,1,0,False,True,False,False,True,False,False,False,True,False,False,False,False,True
205,US672434365,4856160.28,0.193,0.121,31.44,2,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True
206,US268973642,3933621.46,0.071,0.161,33.53,1,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
207,US419309439,2718439.78,0.369,0.027,35.52,3,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True
208,US346703609,4784416.15,0.524,0.13,35.32,4,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True
209,US624363766,777711.78,0.562,0.006,21.38,1,0,False,True,False,False,True,False,True,False,False,False,False,False,True,False
210,US727457371,2397669.39,0.601,0.02,32.03,3,0,False,False,False,True,False,False,False,False,False,False,True,False,False,True
211,US556545752,2692652.48,0.549,0.145,27.51,3,1,True,False,False,False,False,False,False,False,True,False,False,False,False,True
212,US392072678,2464662.93,0.246,0.031,10.7,4,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True
213,US773573053,4014067.25,0.765,0.089,22.05,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True
214,US572669408,3355310.43,0.088,0.05,11.59,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True
215,US195057280,642025.74,0.198,0.084,12.5,2,0,False,True,True,False,False,False,False,False,True,False,False,False,True,False
216,US734324250,1738792.02,0.739,0.015,11.68,4,0,False,False,False,False,True,False,False,False,False,True,False,False,True,False
217,US860672189,1701993.47,0.28,0.151,38.83,0,0,False,False,False,False,True,False,False,False,False,False,True,False,True,False
218,US102235000,2832504.64,0.493,0.016,35.33,4,0,False,False,False,False,True,True,False,False,False,False,False,False,False,True
219,US392121203,1464377.5,0.327,0.168,23.17,1,0,True,False,False,True,False,False,True,False,False,False,False,False,True,False
220,US540529868,595186.13,0.507,0.133,17.44,3,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False
221,US575584232,3271876.5,0.347,0.083,12.17,3,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True
222,US335283714,4256674.32,0.994,0.173,22.94,4,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True
223,US129859174,4658724.4,0.357,0.037,28.01,1,1,True,False,True,False,False,True,False,False,False,False,False,False,False,True
224,US807191493,4863166.3,0.627,0.053,33.91,4,0,True,False,True,False,False,False,False,False,True,False,False,False,False,True
225,US146159303,3907773.06,0.888,0.027,11.55,2,0,True,False,True,False,False,False,False,False,True,False,False,False,False,True
226,US246412954,707115.12,0.638,0.076,22.54,3,1,False,True,False,True,False,False,False,True,False,False,False,False,True,False
227,US819024776,4267028.0,0.566,0.197,39.31,3,0,False,False,False,True,False,False,False,False,False,False,True,False,False,True
228,US926506464,2005800.77,0.569,0.032,13.62,2,0,False,True,False,False,True,False,True,False,False,False,False,False,False,True
229,US614817842,3652257.46,0.496,0.166,22.01,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True
230,US183375337,2661027.34,0.808,0.13,18.25,3,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True
231,US476304299,4144744.61,0.05,0.003,14.02,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
232,US928540878,2133273.61,0.885,0.189,35.17,0,1,True,False,False,True,False,True,False,False,False,False,False,False,False,True
233,US822804538,318351.12,0.586,0.194,30.91,0,0,False,False,True,False,False,False,False,False,False,True,False,True,False,False
234,US414404213,2788550.32,0.849,0.185,22.35,4,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True
235,US180705119,864739.87,0.01,0.1,21.07,2,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False
236,US349546199,4827932.99,0.869,0.044,34.83,0,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True
237,US971959784,2639545.7,0.12,0.078,12.72,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True
238,US760721331,2772258.38,0.721,0.123,14.4,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True
239,US588035440,4537255.91,0.417,0.076,37.2,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,True
