trade_id,security_isin,security_type,trade_amount,currency,counterparty,counterparty_risk_score,historical_fail_rate,market_volatility_index,settlement_delay_days,settlement_failed
48,US161136438,Derivative,4231871.44,JPY,Morgan Stanley,0.579,0.064,29.01,0,1
49,US496917567,Derivative,3092898.25,GBP,Morgan Stanley,0.259,0.1,10.99,0,0
50,US299502978,Bond,3760565.8,EUR,HSBC,0.849,0.101,39.06,3,1
51,US572190436,Derivative,1077860.25,USD,Barclays,0.803,0.073,15.44,0,0
52,US561901618,Equity,3585284.42,JPY,Barclays,0.101,0.099,18.27,4,1
53,US874414982,Equity,1145776.79,JPY,JPMorgan,0.644,0.085,34.28,2,1
54,US832395540,Bond,4936696.77,JPY,Barclays,0.722,0.165,15.7,0,1
55,US961137736,Equity,2803831.92,EUR,Citi,0.716,0.006,22.03,1,1
56,US379394470,Equity,3481239.9,EUR,Barclays,0.723,0.174,35.95,3,1
57,US156972561,Equity,600823.9,EUR,Goldman Sachs,0.169,0.049,29.12,3,0
58,US954206851,Equity,1260773.34,JPY,Goldman Sachs,0.315,0.144,19.06,2,1
59,US925500248,Derivative,707305.89,EUR,BNP Paribas,0.844,0.081,29.32,2,0
60,US371820813,Equity,1956951.87,GBP,Morgan Stanley,0.898,0.059,34.38,1,1
61,US350814705,Bond,1427837.96,USD,Morgan Stanley,0.279,0.123,22.12,1,1
62,US681609465,Bond,3667282.08,GBP,HSBC,0.023,0.154,27.15,1,1
63,US334564360,Equity,552457.81,GBP,JPMorgan,0.86,0.09,39.64,3,0
64,US168574553,Bond,3762776.25,EUR,Goldman Sachs,0.377,0.093,38.94,3,0
65,US519498548,Equity,238067.07,JPY,BNP Paribas,0.329,0.012,25.27,1,1
66,US891274835,Bond,1018069.01,GBP,JPMorgan,0.347,0.185,12.88,0,0
67,US916698734,Bond,3961905.31,USD,JPMorgan,0.416,0.169,31.02,0,0
68,US887110843,Equity,3716455.44,EUR,HSBC,0.378,0.08,18.06,1,1
69,US624150214,Equity,2386867.31,GBP,Barclays,0.566,0.153,30.08,1,0
70,US572432043,Derivative,259413.75,EUR,Morgan Stanley,0.079,0.063,20.55,3,0
71,US457319431,Equity,3053369.77,USD,JPMorgan,0.972,0.146,31.56,0,0
72,US247697582,Equity,2039553.28,EUR,JPMorgan,0.936,0.103,21.02,2,0
73,US844595490,Derivative,1589475.47,JPY,Morgan Stanley,0.934,0.092,38.24,2,1
74,US784275917,Equity,3205649.08,GBP,HSBC,0.879,0.011,14.1,4,0
75,US705850704,Equity,2188706.67,GBP,Morgan Stanley,0.66,0.193,12.05,2,1
76,US137709731,Derivative,471181.29,JPY,Goldman Sachs,0.221,0.167,33.44,0,0
77,US882698033,Equity,4580592.85,USD,Morgan Stanley,0.049,0.159,22.04,3,0
78,US798027879,Equity,3894680.57,USD,Barclays,0.099,0.061,23.97,0,1
79,US123027075,Derivative,291327.17,EUR,Goldman Sachs,0.324,0.058,38.01,0,0
80,US365047041,Derivative,2630068.71,GBP,HSBC,0.504,0.115,27.7,2,1
81,US852288765,Bond,426054.04,USD,BNP Paribas,0.993,0.169,29.81,1,0
82,US186191493,Equity,4188076.4,JPY,JPMorgan,0.435,0.187,10.58,4,1
83,US993102645,Bond,3068939.67,JPY,Barclays,0.525,0.054,30.12,2,0
84,US300619113,Bond,870521.18,JPY,Barclays,0.695,0.121,21.65,2,1
85,US390770691,Derivative,113499.3,USD,Goldman Sachs,0.181,0.145,23.81,2,0
86,US893943861,Equity,167589.25,JPY,JPMorgan,0.933,0.045,34.24,4,0
87,US234489564,Equity,2541753.71,GBP,Goldman Sachs,0.529,0.081,25.71,3,0
88,US496360081,Derivative,3674523.66,USD,Citi,0.276,0.037,39.61,2,1
89,US207944665,Bond,612993.85,USD,Citi,0.935,0.14,33.9,3,1
90,US957937451,Derivative,1114207.49,GBP,Goldman Sachs,0.625,0.173,31.86,3,1
91,US913891745,Equity,1643027.13,JPY,JPMorgan,0.484,0.176,27.66,0,0
92,US723415497,Derivative,1098203.14,USD,HSBC,0.58,0.134,22.37,1,0
93,US722028733,Equity,1962769.45,GBP,JPMorgan,0.748,0.069,11.59,4,0
94,US858744035,Bond,2802478.88,GBP,Morgan Stanley,0.155,0.132,10.55,1,0
95,US520477197,Equity,3427834.37,EUR,HSBC,0.865,0.173,11.4,3,0
96,US838194223,Bond,4819238.16,JPY,Barclays,0.96,0.125,38.77,3,1
97,US428740110,Bond,4654909.91,JPY,Goldman Sachs,0.567,0.083,19.7,4,1
98,US480072391,Equity,2854933.6,GBP,HSBC,0.682,0.184,31.02,1,1
99,US402554573,Equity,3673408.78,USD,Barclays,0.86,0.167,27.83,0,1
100,US941739990,Bond,4754852.3,EUR,HSBC,0.375,0.176,27.15,1,0
101,US189482491,Derivative,426525,EUR,Barclays,0.993,0.181,27.38,2,0
102,US294249720,Equity,38117.45,USD,Citi,0.681,0.079,19.07,1,1
103,US423541287,Bond,158700.82,EUR,Citi,0.424,0.172,36.6,3,1
104,US506019796,Bond,2821113.32,USD,BNP Paribas,0.677,0.114,37.58,4,1
105,US695614415,Derivative,3816538.79,EUR,HSBC,0.522,0.008,29.34,2,1
106,US191693393,Equity,1841704,USD,HSBC,0.112,0.127,35.92,3,0
107,US270476398,Bond,2730743.48,GBP,Goldman Sachs,0.796,0.094,11.8,1,1
108,US438175028,Derivative,2586667.93,GBP,BNP Paribas,0.564,0.055,13.01,4,0
109,US472593431,Bond,482906.75,EUR,Goldman Sachs,0.796,0.194,26.77,2,0
110,US558502041,Equity,1614725.44,EUR,JPMorgan,0.155,0.011,35.4,1,0
111,US232862715,Derivative,106981.42,GBP,Goldman Sachs,0.538,0.189,19.46,2,1
112,US559708603,Bond,562421.39,JPY,HSBC,0.767,0.032,26.44,0,1
113,US283378299,Derivative,4061172.53,USD,JPMorgan,0.988,0.075,10.3,0,1
114,US211665644,Equity,4148773.35,JPY,JPMorgan,0.884,0.083,39.6,4,1
115,US705264936,Derivative,4011712.14,EUR,Goldman Sachs,0.864,0.146,33.01,0,0
116,US298743196,Equity,3636825.02,GBP,JPMorgan,0.247,0.043,20.84,3,0
117,US324184334,Bond,3968631.1,EUR,Barclays,0.838,0.197,39.49,1,1
118,US809816108,Equity,3358201.88,JPY,JPMorgan,0.169,0.15,12.77,2,1
119,US420192576,Bond,3352468.36,GBP,Barclays,0.198,0.158,23.93,2,0
120,US167157848,Bond,3340135.37,GBP,Barclays,0.11,0.021,11.77,0,0
121,US844753672,Equity,2575073.52,GBP,Barclays,0.858,0.095,20.05,2,0
122,US195540567,Bond,1823102.69,USD,Morgan Stanley,0.108,0.189,16.58,2,1
123,US722261376,Derivative,3653674.38,EUR,BNP Paribas,0.138,0.054,19.5,1,0
124,US953477355,Bond,1500243.61,JPY,HSBC,0.246,0.029,38.42,4,1
125,US286780295,Equity,2719081.64,USD,Morgan Stanley,0.573,0.097,22.82,2,0
126,US123717335,Derivative,2172444.54,JPY,HSBC,0.88,0.186,19.75,0,0
127,US160472382,Derivative,1390345.16,USD,HSBC,0.418,0.097,29.22,0,1
128,US381154698,Bond,4873702.7,GBP,JPMorgan,0.546,0.081,30.5,4,1
129,US954021618,Bond,1301170.71,USD,BNP Paribas,0.166,0.13,39.51,2,0
130,US988445520,Equity,1553372.39,EUR,HSBC,0.266,0.187,26.38,2,1
131,US272552610,Derivative,816321.63,EUR,BNP Paribas,0.134,0.01,32.58,2,0
132,US191355424,Equity,4116673.32,JPY,BNP Paribas,0.41,0.031,21.46,4,0
133,US555094650,Bond,2937081.11,GBP,Goldman Sachs,0.59,0.027,15.13,0,0
134,US418019332,Derivative,3069065.89,GBP,JPMorgan,0.284,0.017,22.9,2,0
135,US857206505,Equity,4104601.44,JPY,Morgan Stanley,0.846,0.06,22.56,2,0
136,US565856742,Equity,1721169.1,EUR,BNP Paribas,0.981,0.046,22.62,3,1
137,US748870905,Equity,976230.79,EUR,HSBC,0.12,0.11,30.86,1,0
138,US597653800,Equity,1000042.77,JPY,BNP Paribas,0.018,0.065,22.18,4,0
139,US808496411,Equity,3665772.91,GBP,HSBC,0.79,0.081,38.62,1,0
140,US585775494,Derivative,3074434.62,JPY,Citi,0.191,0.188,39.48,4,0
141,US529662408,Equity,1039631,JPY,BNP Paribas,0.353,0.031,25.7,1,1
142,US629561415,Derivative,733876.32,USD,BNP Paribas,0.394,0.078,26.75,3,0
143,US956634123,Equity,612229.65,JPY,Citi,0.917,0.051,22.23,1,1
144,US447454369,Bond,3142715.25,EUR,JPMorgan,0.659,0.11,20.67,2,1
145,US509783328,Bond,10592.04,JPY,Morgan Stanley,0.041,0.147,39.56,1,1
146,US372981039,Equity,101413.52,GBP,Barclays,0.015,0.163,11.22,1,0
147,US618910454,Bond,1953870.15,GBP,Morgan Stanley,0.2,0.103,22.3,0,0
148,US361917078,Derivative,3459835.82,EUR,JPMorgan,0.318,0.171,14.54,4,0
149,US825167677,Equity,3478246.49,GBP,Morgan Stanley,0.485,0.157,31.79,1,1
150,US422909911,Derivative,2156290.19,JPY,Citi,0.838,0.031,15.83,2,1
151,US812631076,Equity,3458457.3,EUR,BNP Paribas,0.315,0.049,36.54,2,1
152,US492121003,Bond,2610269.94,GBP,BNP Paribas,0.377,0.134,21.23,4,0
153,US690804839,Derivative,4884887.77,JPY,Barclays,0.329,0.195,37.51,3,0
154,US206179285,Bond,820676.47,GBP,JPMorgan,0.009,0.075,39.6,4,0
155,US689324250,Bond,3007329.67,USD,BNP Paribas,0.955,0.046,33.14,2,0
156,US363038498,Equity,2461281.49,GBP,JPMorgan,0.139,0.174,28.69,3,0
157,US670916578,Derivative,980387.06,EUR,Goldman Sachs,0.288,0.04,14.5,3,0
158,US613653348,Bond,3752452.26,JPY,HSBC,0.129,0.139,37.99,0,0
159,US524831618,Equity,1384785.02,JPY,Barclays,0.491,0.007,33.31,1,0
160,US146321408,Equity,1914732,EUR,HSBC,0.932,0.004,18.64,0,1
161,US363183577,Equity,1880404.54,USD,JPMorgan,0.101,0.09,24.06,1,0
162,US190053374,Bond,1228580.32,JPY,Morgan Stanley,0.441,0.131,12.03,0,0
163,US126063245,Equity,2159219.61,EUR,Morgan Stanley,0.022,0.028,29.77,3,0
164,US273660954,Derivative,2371995.95,GBP,Morgan Stanley,0.771,0.153,13.76,1,0
165,US197636744,Derivative,3723666.15,USD,Morgan Stanley,0.641,0.026,29.55,2,0
166,US862532878,Bond,3827692.19,EUR,JPMorgan,0.7,0.107,30.15,3,0
167,US576272473,Derivative,801194.28,GBP,Citi,0.472,0.062,19.74,4,0
168,US209174313,Equity,2967933.77,JPY,Barclays,0.908,0.15,38.46,3,0
169,US913194107,Bond,4482027.01,JPY,Morgan Stanley,0.41,0.161,33.37,2,0
170,US563390156,Equity,552845.18,USD,JPMorgan,0.514,0.013,24.9,0,0
171,US966377394,Bond,2369841.08,GBP,BNP Paribas,0.695,0.039,37.56,1,0
172,US234987326,Bond,3754262.08,EUR,BNP Paribas,0.521,0.179,35.68,0,0
173,US726049887,Equity,3061341.76,JPY,JPMorgan,0.189,0.083,30.77,0,0
174,US685878246,Derivative,511922.43,EUR,Morgan Stanley,0.317,0.095,14.59,1,0
175,US376406835,Derivative,1989064.57,EUR,Goldman Sachs,0.092,0.034,24.91,0,0
176,US371766524,Bond,2541125.1,EUR,JPMorgan,0.433,0.199,35.93,2,0
177,US136810847,Equity,4979269.55,USD,Barclays,0.609,0.185,28.27,4,1
178,US939735171,Equity,901253.47,EUR,Barclays,0.119,0,26.37,1,0
179,US776742877,Bond,4912294.6,USD,Goldman Sachs,0.631,0.11,38.66,0,1
180,US698424036,Derivative,1886987.42,USD,BNP Paribas,0.893,0.174,10.5,1,0
181,US548469222,Equity,1009599.23,GBP,BNP Paribas,0.338,0.086,10.36,0,0
182,US788839404,Derivative,2076404.32,JPY,JPMorgan,0.222,0.087,36.78,2,1
183,US271116174,Derivative,3073835.67,EUR,Goldman Sachs,0.893,0.076,11.16,3,1
184,US123841962,Bond,1075352,GBP,JPMorgan,0.692,0.006,19.98,4,0
185,US972141340,Bond,1464281.03,GBP,JPMorgan,0.105,0.158,37.72,4,0
186,US928299788,Derivative,4274187.04,GBP,Goldman Sachs,0.408,0.091,30.73,1,0
187,US430626207,Equity,4995057.21,GBP,BNP Paribas,0.674,0.106,29.44,4,0
188,US524623942,Equity,1597681.73,GBP,HSBC,0.574,0.051,29.71,0,1
189,US270731194,Bond,752795.45,EUR,Citi,0.619,0.157,19.53,2,1
190,US936594930,Derivative,3967922.39,GBP,Morgan Stanley,0.567,0.159,25.92,2,0
191,US792440149,Equity,3006273.88,JPY,Morgan Stanley,0.798,0.111,28.9,1,0
192,US660355099,Equity,511001.71,USD,Morgan Stanley,0.32,0.181,19.17,0,1
193,US871795521,Bond,4734389.69,USD,Goldman Sachs,0.708,0.023,33.86,4,1
194,US634096553,Derivative,399467.15,JPY,JPMorgan,0.991,0.157,19.65,0,0
195,US349625132,Equity,3130528.44,EUR,HSBC,0.39,0.112,12.14,4,1
196,US295995197,Bond,2125446.91,USD,HSBC,0.791,0.046,16.04,0,1
197,US672964792,Equity,2787553.35,JPY,JPMorgan,0.246,0.026,22.25,4,1
198,US553094388,Equity,1073938.84,JPY,Barclays,0.282,0.06,37.24,4,1
199,US621669253,Equity,3443670.89,GBP,HSBC,0.935,0.171,22.47,2,0
200,US987059227,Bond,4799001.25,USD,JPMorgan,0.026,0.158,12.69,3,0
201,US330519835,Derivative,2297545.11,GBP,BNP Paribas,0.217,0.129,15.89,3,0
202,US901312299,Bond,2619561.81,EUR,Citi,0.483,0.018,26.33,1,1
203,US815154771,Derivative,1206660.24,USD,Morgan Stanley,0.402,0.191,15.33,3,1
204,US712286237,Equity,4460421.24,USD,HSBC,0.629,0.061,11.92,1,0
205,US672434365,Derivative,4856160.28,JPY,BNP Paribas,0.193,0.121,31.44,2,0
206,US268973642,Equity,3933621.46,USD,BNP Paribas,0.071,0.161,33.53,1,0
207,US419309439,Equity,2718439.78,EUR,HSBC,0.369,0.027,35.52,3,0
208,US346703609,Bond,4784416.15,EUR,HSBC,0.524,0.13,35.32,4,1
209,US624363766,Equity,777711.78,USD,Citi,0.562,0.006,21.38,1,0
210,US727457371,Bond,2397669.39,JPY,Morgan Stanley,0.601,0.02,32.03,3,0
211,US556545752,Derivative,2692652.48,EUR,HSBC,0.549,0.145,27.51,3,1
212,US392072678,Derivative,2464662.93,GBP,Goldman Sachs,0.246,0.031,10.7,4,0
213,US773573053,Equity,4014067.25,EUR,Citi,0.765,0.089,22.05,0,0
214,US572669408,Bond,3355310.43,USD,BNP Paribas,0.088,0.05,11.59,3,0
215,US195057280,Equity,642025.74,GBP,HSBC,0.198,0.084,12.5,2,0
216,US734324250,Bond,1738792.02,USD,JPMorgan,0.739,0.015,11.68,4,0
217,US860672189,Bond,1701993.47,USD,Morgan Stanley,0.28,0.151,38.83,0,0
218,US102235000,Bond,2832504.64,USD,Barclays,0.493,0.016,35.33,4,0
219,US392121203,Derivative,1464377.5,JPY,Citi,0.327,0.168,23.17,1,0
220,US540529868,Bond,595186.13,JPY,BNP Paribas,0.507,0.133,17.44,3,0
221,US575584232,Derivative,3271876.5,EUR,Goldman Sachs,0.347,0.083,12.17,3,1
222,US335283714,Bond,4256674.32,USD,BNP Paribas,0.994,0.173,22.94,4,0
223,US129859174,Derivative,4658724.4,GBP,Barclays,0.357,0.037,28.01,1,1
224,US807191493,Derivative,4863166.3,GBP,HSBC,0.627,0.053,33.91,4,0
225,US146159303,Derivative,3907773.06,GBP,HSBC,0.888,0.027,11.55,2,0
226,US246412954,Equity,707115.12,JPY,Goldman Sachs,0.638,0.076,22.54,3,1
227,US819024776,Bond,4267028,JPY,Morgan Stanley,0.566,0.197,39.31,3,0
228,US926506464,Equity,2005800.77,USD,Citi,0.569,0.032,13.62,2,0
229,US614817842,Bond,3652257.46,GBP,Goldman Sachs,0.496,0.166,22.01,0,0
230,US183375337,Bond,2661027.34,GBP,Barclays,0.808,0.13,18.25,3,0
231,US476304299,Equity,4144744.61,JPY,BNP Paribas,0.05,0.003,14.02,4,1
232,US928540878,Derivative,2133273.61,JPY,Barclays,0.885,0.189,35.17,0,1
233,US822804538,Bond,318351.12,GBP,JPMorgan,0.586,0.194,30.91,0,0
234,US414404213,Derivative,2788550.32,GBP,Goldman Sachs,0.849,0.185,22.35,4,0
235,US180705119,Equity,864739.87,EUR,Citi,0.01,0.1,21.07,2,0
236,US349546199,Derivative,4827932.99,JPY,Citi,0.869,0.044,34.83,0,0
237,US971959784,Bond,2639545.7,USD,BNP Paribas,0.12,0.078,12.72,3,0
238,US760721331,Bond,2772258.38,USD,BNP Paribas,0.721,0.123,14.4,1,1
239,US588035440,Bond,4537255.91,GBP,HSBC,0.417,0.076,37.2,0,1
240,US378710077,Equity,3126680.37,JPY,BNP Paribas,0.681,0.142,34.52,2,1
241,US116816569,Bond,1520619.59,USD,JPMorgan,0.628,0.159,33.25,4,1
242,US107654909,Equity,1487512.14,JPY,Barclays,0.163,0.042,28.72,3,0
243,US943120422,Derivative,2512877.46,GBP,BNP Paribas,0.515,0.081,18.77,1,0
244,US318520688,Bond,4334375.06,GBP,HSBC,0.277,0.192,38.04,0,1
245,US736028516,Bond,3975699.41,GBP,Goldman Sachs,0.56,0.05,24.76,2,0
246,US249638768,Bond,4814075.52,JPY,BNP Paribas,0.738,0.069,18.42,1,1
247,US258428240,Derivative,368711.75,USD,Barclays,0.081,0.007,20.97,1,1
248,US172073914,Bond,1348947.08,EUR,Goldman Sachs,0.516,0.066,10.51,3,1
249,US570575216,Equity,410236.46,USD,Goldman Sachs,0.618,0.074,17.65,3,0
250,US111506305,Derivative,3757885.18,JPY,Goldman Sachs,0.295,0.02,15.64,0,0
251,US791648731,Derivative,712760.11,USD,Barclays,0.953,0,14.07,0,1
252,US321099573,Derivative,508432.73,EUR,BNP Paribas,0.52,0.115,10.96,1,0
253,US241951830,Derivative,2812744.31,USD,Barclays,0.183,0.06,16.81,2,1
254,US223035620,Derivative,2063308.71,EUR,Barclays,0.108,0.004,13.11,1,0
255,US508327903,Equity,3578355.68,JPY,Morgan Stanley,0.542,0.172,11.35,2,1
256,US779746784,Derivative,2440206.8,GBP,HSBC,0.375,0.117,14.12,3,1
257,US677034624,Bond,2132419.63,EUR,Barclays,0.193,0.034,16.07,2,0
258,US876124029,Derivative,2133247.24,JPY,JPMorgan,0.031,0.173,22.48,2,0
259,US722318721,Derivative,4360663.14,GBP,HSBC,0.567,0.051,27.51,3,1
260,US232863028,Derivative,1982176,EUR,Morgan Stanley,0.599,0.045,19.67,4,1
261,US949472217,Derivative,1673651.67,GBP,Goldman Sachs,0.142,0.179,14.24,1,0
262,US327174085,Derivative,1699290.03,USD,BNP Paribas,0.602,0.036,38.21,0,1
263,US498129398,Equity,991037.98,JPY,Citi,0.952,0.176,25.45,2,0
264,US839316547,Equity,4304837.36,JPY,BNP Paribas,0.978,0.161,32.26,0,0
265,US447262390,Derivative,741687.77,JPY,Morgan Stanley,0.888,0.062,30.83,0,1
266,US149905866,Equity,4543967.58,JPY,HSBC,0.807,0.007,18.55,1,1
267,US613911991,Bond,1424503.93,EUR,Morgan Stanley,0.209,0.017,26.8,4,1
268,US328233509,Derivative,4498139.84,USD,HSBC,0.156,0.022,28.06,4,0
269,US605874711,Bond,3956195.08,GBP,HSBC,0.445,0.178,20.55,4,1
270,US668249203,Bond,2914117.73,JPY,Goldman Sachs,0.62,0.081,30.12,4,1
271,US673505733,Derivative,3350655.32,JPY,Barclays,0.851,0.007,33.72,3,0
272,US739196117,Bond,1635962.01,EUR,Barclays,0.232,0.111,20.93,0,0
273,US253651082,Bond,2875400.79,EUR,Morgan Stanley,0.48,0.042,10.45,0,0
274,US385322750,Bond,1469090.47,EUR,Barclays,0.647,0.047,20.48,3,0
275,US487791599,Derivative,2017341.34,USD,Morgan Stanley,0.446,0.032,13.5,1,1
276,US307640719,Derivative,3825666.15,GBP,BNP Paribas,0.454,0.152,14.67,2,0
277,US466371424,Bond,1227223.49,USD,Citi,0.225,0,20.98,4,0
278,US747326920,Derivative,4195841.62,JPY,BNP Paribas,0.987,0.088,16.23,4,1
279,US403998075,Derivative,1885655.44,EUR,Citi,0.475,0.017,38.05,3,0
280,US135213498,Bond,2665528.1,JPY,Goldman Sachs,0.533,0.11,29.58,4,1
281,US901090885,Derivative,4710382.83,GBP,JPMorgan,0.219,0.069,25.55,3,0
282,US941009615,Equity,3409465.59,GBP,JPMorgan,0.514,0.006,10.29,2,0
283,US275127900,Derivative,3231564.52,USD,BNP Paribas,0.255,0.092,13.11,0,1
284,US565397506,Equity,3560922.56,USD,Barclays,0.202,0.114,33.65,4,0
285,US490382227,Bond,4591375.58,EUR,JPMorgan,0.276,0.05,21.69,1,1
286,US426241019,Derivative,1250083.41,EUR,Citi,0.003,0.153,11.36,3,0
287,US862633146,Bond,3070073.62,JPY,Goldman Sachs,0.57,0.074,34.77,2,0
288,US171244178,Bond,2007965.33,EUR,Citi,0.387,0.15,19.08,1,0
289,US151939266,Bond,69157.91,EUR,HSBC,0.899,0.116,21.59,0,1
290,US355555070,Bond,635251.47,JPY,Morgan Stanley,0.041,0.174,39.23,1,0
291,US523767187,Bond,1631709.56,GBP,Barclays,0.043,0.109,10.47,3,1
292,US723512415,Derivative,2829349.86,EUR,Barclays,0.886,0.037,31.64,4,1
293,US513075142,Equity,4408559.14,EUR,JPMorgan,0.127,0.165,38.47,0,1
294,US848898099,Derivative,3957659.45,JPY,Morgan Stanley,0.002,0.157,11.92,3,0
295,US918291176,Derivative,2771135.03,JPY,JPMorgan,0.179,0.194,35.98,2,1
296,US920071328,Derivative,378613.39,JPY,HSBC,0.824,0.019,22.49,1,1
297,US733816999,Derivative,1436672.39,JPY,JPMorgan,0.803,0.118,36.34,1,0
298,US687273855,Equity,1839876.15,JPY,JPMorgan,0.34,0.098,19.25,0,0
299,US176241446,Derivative,3112368.75,EUR,Morgan Stanley,0.668,0.134,39.48,0,1
300,US901999185,Bond,333968.88,USD,JPMorgan,0.507,0.196,29.41,2,0
301,US476712039,Derivative,2655665.84,USD,HSBC,0.905,0.106,28.81,2,1
302,US690647936,Derivative,4508308.23,USD,Barclays,0.056,0.137,34.18,0,0
303,US854583306,Equity,3530109.15,EUR,JPMorgan,0.813,0.069,23.1,3,0
304,US491127003,Equity,3987413.26,GBP,Morgan Stanley,0.171,0.06,17.76,3,0
305,US587365080,Bond,3411561.49,EUR,Morgan Stanley,0.392,0.067,17.89,0,0
306,US997955761,Derivative,1040879.67,USD,Citi,0.192,0.008,19.92,1,0
307,US850303382,Derivative,561314.26,USD,JPMorgan,0.703,0.057,28.52,4,0
308,US278017694,Derivative,4149158.46,JPY,Morgan Stanley,0.678,0.035,35.15,2,0
309,US646918365,Bond,3480567.14,JPY,BNP Paribas,0.548,0.091,24.99,3,0
310,US940887593,Equity,2879557.18,JPY,JPMorgan,0.698,0.092,22.1,4,1
311,US134109026,Bond,954521.5,EUR,Goldman Sachs,0.64,0.153,33.82,1,0
312,US787126267,Derivative,3020691.38,GBP,Barclays,0.776,0.1,18.69,2,0
313,US851425679,Equity,166295.71,GBP,Barclays,0.239,0.093,30.67,3,0
314,US388717145,Equity,603007.28,JPY,BNP Paribas,0.429,0.046,13.17,3,0
315,US337085688,Bond,1566331.85,GBP,JPMorgan,0.152,0.17,13.4,1,0
316,US171450611,Equity,2224254,USD,HSBC,0.43,0.018,29.32,1,0
317,US227348283,Equity,611616.83,USD,Barclays,0.702,0.196,12.48,3,0
